melanization,parental.pair,convergence,sex,age,mating.status,bloodfed
2,27,nonconverged,female,5,mated,yes
2,27,nonconverged,female,5,mated,yes
2,27,nonconverged,female,5,mated,yes
0,28,converged,female,5,mated,yes
0,28,converged,female,5,mated,yes
1,28,converged,female,5,mated,yes
2,28,converged,female,5,mated,yes
2,28,converged,female,5,mated,yes
1,29,nonconverged,female,5,mated,yes
2,29,nonconverged,female,5,mated,yes
2,29,nonconverged,female,5,mated,yes
2,29,nonconverged,female,5,mated,yes
2,29,nonconverged,female,5,mated,yes
0,30,converged,female,5,mated,yes
0,30,converged,female,5,mated,yes
1,30,converged,female,5,mated,yes
1,30,converged,female,5,mated,yes
2,30,converged,female,5,mated,yes
2,30,converged,female,5,mated,yes
0,31,nonconverged,female,5,mated,yes
0,31,nonconverged,female,5,mated,yes
0,31,nonconverged,female,5,mated,yes
1,31,nonconverged,female,5,mated,yes
2,32,converged,female,5,mated,yes
2,32,converged,female,5,mated,yes
2,32,converged,female,5,mated,yes
2,32,converged,female,5,mated,yes
2,32,converged,female,5,mated,yes
0,34,converged,female,5,mated,yes
0,34,converged,female,5,mated,yes
0,34,converged,female,5,mated,yes
0,34,converged,female,5,mated,yes
1,34,converged,female,5,mated,yes
0,35,nonconverged,female,5,mated,yes
0,35,nonconverged,female,5,mated,yes
1,35,nonconverged,female,5,mated,yes
1,35,nonconverged,female,5,mated,yes
1,35,nonconverged,female,5,mated,yes
1,36,nonconverged,female,5,mated,yes
2,36,nonconverged,female,5,mated,yes
